"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"14991","06-04-25 20:45","Italy","Serie A","2024/2025","AS Roma","Juventus","2.50","3.17","3.17","1.09","8.42","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.08","1.90","1.90"
"14992","06-04-25 18:00","Italy","Serie A","2024/2025","Atalanta","Lazio","1.69","3.98","5.36","1.05","11.60","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.72","2.12"
"14993","06-04-25 15:00","Italy","Serie A","2024/2025","Empoli","Cagliari","2.65","3.06","3.06","1.11","7.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"14994","06-04-25 15:00","Italy","Serie A","2024/2025","Torino","Verona","1.93","3.09","5.35","1.13","6.32","1.51","2.63","2.54","1.54","5.15","1.18","10.70","1.06","2.16","1.70"
"14995","06-04-25 12:30","Italy","Serie A","2024/2025","Lecce","Venezia","2.37","2.98","3.67","1.10","7.37","1.44","2.90","2.45","1.58","4.57","1.22","9.52","1.07","1.96","1.85"
"14996","05-04-25 20:45","Italy","Serie A","2024/2025","AC Milan","Fiorentina","1.75","3.78","5.10","1.05","11.60","1.27","3.95","1.90","2.01","3.27","1.36","6.23","1.14","1.74","2.09"
"14997","05-04-25 18:00","Italy","Serie A","2024/2025","Parma","Inter","6.90","4.42","1.52","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.15","1.18","1.83","1.98"
"14998","05-04-25 15:00","Italy","Serie A","2024/2025","Monza","Como","4.93","4.00","1.73","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.83","1.98"
"14999","04-04-25 20:45","Italy","Serie A","2024/2025","Genoa","Udinese","2.35","3.07","3.58","1.12","6.84","1.51","2.63","2.54","1.54","5.15","1.18","10.70","1.06","2.06","1.76"
"15000","31-03-25 20:45","Italy","Serie A","2024/2025","Lazio","Torino","1.78","3.70","5.09","1.08","8.51","1.38","3.19","2.22","1.74","3.90","1.28","7.97","1.09","2.00","1.82"
"15001","31-03-25 18:30","Italy","Serie A","2024/2025","Verona","Parma","2.74","3.09","2.92","1.09","8.42","1.38","3.16","2.24","1.73","3.94","1.27","8.05","1.09","1.81","2.00"
"15002","30-03-25 20:45","Italy","Serie A","2024/2025","Napoli","AC Milan","2.01","3.61","3.92","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.72","2.12"
"15003","30-03-25 18:00","Italy","Serie A","2024/2025","Inter","Udinese","1.48","4.22","8.58","1.06","10.50","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.96","1.85"
"15004","30-03-25 15:00","Italy","Serie A","2024/2025","Fiorentina","Atalanta","4.06","3.49","2.01","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.68","2.18"
"15005","30-03-25 12:30","Italy","Serie A","2024/2025","Cagliari","Monza","1.81","3.57","5.05","1.06","10.50","1.31","3.58","2.03","1.88","3.50","1.33","7.18","1.11","1.83","1.98"
"15006","29-03-25 20:45","Italy","Serie A","2024/2025","Lecce","AS Roma","5.43","3.65","1.75","1.09","8.42","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.96","1.85"
"15007","29-03-25 18:00","Italy","Serie A","2024/2025","Juventus","Genoa","1.53","4.00","8.00","1.10","7.37","1.44","2.90","2.35","1.63","4.57","1.22","9.52","1.07","2.44","1.56"
"15008","29-03-25 15:00","Italy","Serie A","2024/2025","Como","Empoli","1.80","3.54","5.20","1.07","9.47","1.31","3.58","2.03","1.88","3.50","1.33","6.73","1.12","1.86","1.95"
"15009","29-03-25 15:00","Italy","Serie A","2024/2025","Venezia","Bologna","5.60","3.49","1.77","1.07","9.47","1.34","3.37","2.14","1.80","3.94","1.27","8.05","1.09","1.96","1.85"
"15010","16-03-25 20:45","Italy","Serie A","2024/2025","Atalanta","Inter","2.67","3.46","2.85","1.02","11.30","1.25","3.46","1.98","1.96","3.13","1.30","6.15","1.06","1.68","2.13"
"15011","16-03-25 18:00","Italy","Serie A","2024/2025","Fiorentina","Juventus","3.33","3.18","2.41","1.09","8.00","1.41","3.00","2.35","1.67","4.14","1.25","8.45","1.09","1.98","1.83"
"15012","16-03-25 16:00","Italy","Serie A","2024/2025","AS Roma","Cagliari","1.51","4.46","6.96","1.05","11.00","1.32","3.50","1.99","1.91","3.43","1.34","7.06","1.11","2.10","1.74"
"15013","16-03-25 15:00","Italy","Serie A","2024/2025","Bologna","Lazio","2.37","3.07","3.54","1.10","7.37","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.08","1.90","1.90"
"15014","16-03-25 12:30","Italy","Serie A","2024/2025","Venezia","Napoli","7.98","4.19","1.50","1.07","9.47","1.31","3.58","2.03","1.88","3.61","1.31","7.18","1.11","2.16","1.70"
"15015","15-03-25 20:45","Italy","Serie A","2024/2025","Torino","Empoli","1.88","3.30","5.16","1.09","8.42","1.34","3.37","2.24","1.73","3.94","1.27","8.05","1.09","1.90","1.90"
"15016","15-03-25 18:00","Italy","Serie A","2024/2025","AC Milan","Como","1.80","3.83","4.66","1.03","13.70","1.22","4.56","1.74","2.21","2.73","1.48","5.15","1.18","1.65","2.24"
"15017","15-03-25 15:00","Italy","Serie A","2024/2025","Monza","Parma","3.22","3.35","2.37","1.06","10.50","1.31","3.57","2.10","1.82","3.61","1.31","7.43","1.10","1.68","2.18"
"15018","15-03-25 15:00","Italy","Serie A","2024/2025","Udinese","Verona","1.77","3.59","5.34","1.11","7.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","2.02","1.80"
"15019","14-03-25 20:45","Italy","Serie A","2024/2025","Genoa","Lecce","2.09","3.06","4.42","1.12","6.84","1.47","2.77","2.54","1.54","5.15","1.18","10.70","1.06","2.06","1.76"
