squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Atalanta Bergamasca Calcio S.p.a.,Parma Calcio 1913,2026-01-25,224000000,67700000
Genoa Cricket and Football Club,Bologna Football Club 1909,2026-01-25,87500000,99500000
Calcio Como,Torino Calcio,2026-01-24,201500000,66500000
Unione Sportiva Lecce,Società Sportiva Lazio S.p.A.,2026-01-24,48600000,103000000
Associazione Calcio Fiorentina,Cagliari Calcio,2026-01-24,127000000,83900000
Football Club Internazionale Milano S.p.A.,Pisa Sporting Club,2026-01-23,333500000,42200000
Unione Sportiva Cremonese S.p.A.,Verona Hellas Football Club,2026-01-19,34400000,44300000
Società Sportiva Lazio S.p.A.,Calcio Como,2026-01-19,109000000,211500000
Parma Calcio 1913,Genoa Cricket and Football Club,2026-01-18,71700000,73400000
Bologna Football Club 1909,Associazione Calcio Fiorentina,2026-01-18,155000000,122500000
Associazione Calcio Milan,Unione Sportiva Lecce,2026-01-18,331000000,48000000
Torino Calcio,Associazione Sportiva Roma,2026-01-18,63500000,226500000
Società Sportiva Calcio Napoli,Unione Sportiva Sassuolo Calcio,2026-01-17,199500000,87800000
Udinese Calcio,Football Club Internazionale Milano S.p.A.,2026-01-17,80300000,352000000
Cagliari Calcio,Juventus Football Club,2026-01-17,83900000,314000000
Pisa Sporting Club,Atalanta Bergamasca Calcio S.p.a.,2026-01-16,42200000,207500000
Calcio Como,Associazione Calcio Milan,2026-01-15,166000000,282000000
Verona Hellas Football Club,Bologna Football Club 1909,2026-01-15,49500000,154000000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Lecce,2026-01-14,319500000,48300000
Società Sportiva Calcio Napoli,Parma Calcio 1913,2026-01-14,247700000,63300000
Juventus Football Club,Unione Sportiva Cremonese S.p.A.,2026-01-12,342000000,31900000
Genoa Cricket and Football Club,Cagliari Calcio,2026-01-12,88000000,88900000
Associazione Calcio Fiorentina,Associazione Calcio Milan,2026-01-11,149500000,267000000
Football Club Internazionale Milano S.p.A.,Società Sportiva Calcio Napoli,2026-01-11,449500000,205000000
Unione Sportiva Lecce,Parma Calcio 1913,2026-01-11,40200000,77700000
Verona Hellas Football Club,Società Sportiva Lazio S.p.A.,2026-01-11,54900000,103500000
Associazione Sportiva Roma,Unione Sportiva Sassuolo Calcio,2026-01-10,214000000,94800000
Atalanta Bergamasca Calcio S.p.a.,Torino Calcio,2026-01-10,201000000,60500000
Udinese Calcio,Pisa Sporting Club,2026-01-10,78800000,36500000
Calcio Como,Bologna Football Club 1909,2026-01-10,168500000,155500000
Associazione Calcio Milan,Genoa Cricket and Football Club,2026-01-08,318000000,87500000
Unione Sportiva Cremonese S.p.A.,Cagliari Calcio,2026-01-08,36400000,78500000
Parma Calcio 1913,Football Club Internazionale Milano S.p.A.,2026-01-07,83200000,334000000
Società Sportiva Lazio S.p.A.,Associazione Calcio Fiorentina,2026-01-07,117500000,122500000
Bologna Football Club 1909,Atalanta Bergamasca Calcio S.p.a.,2026-01-07,137500000,201000000
Società Sportiva Calcio Napoli,Verona Hellas Football Club,2026-01-07,259000000,41900000
Torino Calcio,Udinese Calcio,2026-01-07,65000000,81800000
Pisa Sporting Club,Calcio Como,2026-01-06,48300000,198000000
Unione Sportiva Sassuolo Calcio,Juventus Football Club,2026-01-06,96600000,350000000
Unione Sportiva Lecce,Associazione Sportiva Roma,2026-01-06,53800000,199000000
Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2026-01-04,107500000,205000000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2026-01-04,449500000,166000000
Verona Hellas Football Club,Torino Calcio,2026-01-04,53000000,62500000
Associazione Calcio Fiorentina,Unione Sportiva Cremonese S.p.A.,2026-01-04,123500000,40600000
Juventus Football Club,Unione Sportiva Lecce,2026-01-03,358000000,52300000
Unione Sportiva Sassuolo Calcio,Parma Calcio 1913,2026-01-03,90800000,77700000
Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,2026-01-03,187000000,207000000
Calcio Como,Udinese Calcio,2026-01-03,128000000,56450000
Genoa Cricket and Football Club,Pisa Sporting Club,2026-01-03,87500000,37500000
Cagliari Calcio,Associazione Calcio Milan,2026-01-02,89400000,254000000
Associazione Sportiva Roma,Genoa Cricket and Football Club,2025-12-29,233500000,81900000
Unione Sportiva Cremonese S.p.A.,Società Sportiva Calcio Napoli,2025-12-28,32500000,205000000
Atalanta Bergamasca Calcio S.p.a.,Football Club Internazionale Milano S.p.A.,2025-12-28,190000000,449500000
Associazione Calcio Milan,Verona Hellas Football Club,2025-12-28,262000000,51000000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2025-12-28,138000000,103800000
Udinese Calcio,Società Sportiva Lazio S.p.A.,2025-12-27,73450000,87000000
Unione Sportiva Lecce,Calcio Como,2025-12-27,44100000,182500000
Torino Calcio,Cagliari Calcio,2025-12-27,61500000,79500000
Pisa Sporting Club,Juventus Football Club,2025-12-27,42000000,361000000
Parma Calcio 1913,Associazione Calcio Fiorentina,2025-12-27,75200000,148500000
Genoa Cricket and Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-12-21,71200000,207000000
Cagliari Calcio,Pisa Sporting Club,2025-12-21,66600000,42700000
