squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Genoa Cricket and Football Club,FC Crotone,2018-04-14,54800000,23150000
Cagliari Calcio,Udinese Calcio,2018-04-14,56000000,45200000
FC Crotone,Bologna Football Club 1909,2018-04-08,23450000,54500000
Verona Hellas Football Club,Cagliari Calcio,2018-04-08,20050000,63100000
Torino Calcio,Football Club Internazionale Milano S.p.A.,2018-04-08,98100000,274500000
Udinese Calcio,Società Sportiva Lazio S.p.A.,2018-04-08,50200000,256000000
Società Sportiva Calcio Napoli,Chievo Verona,2018-04-08,292000000,24800000
Associazione Calcio Milan,Unione Sportiva Sassuolo Calcio,2018-04-08,271500000,73600000
Benevento Calcio,Juventus Football Club,2018-04-07,15200000,368000000
UC Sampdoria,Genoa Cricket and Football Club,2018-04-07,105500000,53000000
SPAL,Atalanta Bergamasca Calcio S.p.a.,2018-04-07,32400000,89500000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2018-04-07,238000000,85000000
Torino Calcio,FC Crotone,2018-04-04,95600000,16150000
Benevento Calcio,Verona Hellas Football Club,2018-04-04,15100000,18000000
Chievo Verona,Unione Sportiva Sassuolo Calcio,2018-04-04,32100000,65000000
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2018-04-04,264000000,283500000
Udinese Calcio,Associazione Calcio Fiorentina,2018-04-03,46000000,105500000
Genoa Cricket and Football Club,Cagliari Calcio,2018-04-03,53300000,56800000
Atalanta Bergamasca Calcio S.p.a.,UC Sampdoria,2018-04-03,95500000,82500000
Football Club Internazionale Milano S.p.A.,Verona Hellas Football Club,2018-03-31,283500000,16450000
Associazione Calcio Fiorentina,FC Crotone,2018-03-31,104700000,25200000
Juventus Football Club,Associazione Calcio Milan,2018-03-31,343500000,282000000
Atalanta Bergamasca Calcio S.p.a.,Udinese Calcio,2018-03-31,93000000,37200000
Società Sportiva Lazio S.p.A.,Benevento Calcio,2018-03-31,187000000,18400000
Unione Sportiva Sassuolo Calcio,Società Sportiva Calcio Napoli,2018-03-31,70600000,299000000
Cagliari Calcio,Torino Calcio,2018-03-31,61700000,91600000
Bologna Football Club 1909,Associazione Sportiva Roma,2018-03-31,53200000,258500000
Chievo Verona,UC Sampdoria,2018-03-31,31600000,91500000
Genoa Cricket and Football Club,SPAL,2018-03-31,53000000,27200000
Verona Hellas Football Club,Atalanta Bergamasca Calcio S.p.a.,2018-03-18,19600000,100500000
Benevento Calcio,Cagliari Calcio,2018-03-18,14000000,51000000
UC Sampdoria,Football Club Internazionale Milano S.p.A.,2018-03-18,86000000,276000000
Società Sportiva Calcio Napoli,Genoa Cricket and Football Club,2018-03-18,283000000,43400000
FC Crotone,Associazione Sportiva Roma,2018-03-18,21100000,176500000
Società Sportiva Lazio S.p.A.,Bologna Football Club 1909,2018-03-18,161800000,44000000
Associazione Calcio Milan,Chievo Verona,2018-03-18,207500000,31100000
Torino Calcio,Associazione Calcio Fiorentina,2018-03-18,90300000,125500000
Udinese Calcio,Unione Sportiva Sassuolo Calcio,2018-03-17,54200000,54900000
SPAL,Juventus Football Club,2018-03-17,26200000,364500000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2018-03-14,333500000,81500000
Associazione Calcio Fiorentina,Benevento Calcio,2018-03-11,125500000,15900000
Bologna Football Club 1909,Atalanta Bergamasca Calcio S.p.a.,2018-03-11,46600000,102500000
Juventus Football Club,Udinese Calcio,2018-03-11,315500000,58200000
Genoa Cricket and Football Club,Associazione Calcio Milan,2018-03-11,43900000,242500000
Football Club Internazionale Milano S.p.A.,Società Sportiva Calcio Napoli,2018-03-11,276000000,283000000
FC Crotone,UC Sampdoria,2018-03-11,21100000,75500000
Cagliari Calcio,Società Sportiva Lazio S.p.A.,2018-03-11,51000000,131800000
Unione Sportiva Sassuolo Calcio,SPAL,2018-03-11,58100000,26200000
Verona Hellas Football Club,Chievo Verona,2018-03-10,16600000,33400000
Associazione Sportiva Roma,Torino Calcio,2018-03-09,219500000,94800000
SPAL,Bologna Football Club 1909,2018-03-03,28300000,48900000
Società Sportiva Lazio S.p.A.,Juventus Football Club,2018-03-03,184800000,267500000
Società Sportiva Calcio Napoli,Associazione Sportiva Roma,2018-03-03,268000000,221500000
Cagliari Calcio,Società Sportiva Calcio Napoli,2018-02-26,53700000,283000000
FC Crotone,SPAL,2018-02-25,20300000,27000000
Associazione Sportiva Roma,Associazione Calcio Milan,2018-02-25,216000000,229500000
UC Sampdoria,Udinese Calcio,2018-02-25,76500000,63200000
Verona Hellas Football Club,Torino Calcio,2018-02-25,24600000,97300000
Associazione Calcio Fiorentina,Chievo Verona,2018-02-25,112300000,33600000
Unione Sportiva Sassuolo Calcio,Società Sportiva Lazio S.p.A.,2018-02-25,67600000,167800000
Bologna Football Club 1909,Genoa Cricket and Football Club,2018-02-24,37900000,46200000
Football Club Internazionale Milano S.p.A.,Benevento Calcio,2018-02-24,209000000,14000000
Società Sportiva Lazio S.p.A.,Verona Hellas Football Club,2018-02-19,193500000,25000000
Benevento Calcio,FC Crotone,2018-02-18,12700000,18400000
Società Sportiva Calcio Napoli,SPAL,2018-02-18,283000000,27500000
Associazione Calcio Milan,UC Sampdoria,2018-02-18,212500000,84000000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Fiorentina,2018-02-18,98300000,121500000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2018-02-18,31200000,79300000
Torino Calcio,Juventus Football Club,2018-02-18,89100000,302500000
Chievo Verona,Cagliari Calcio,2018-02-17,35400000,50800000
Udinese Calcio,Associazione Sportiva Roma,2018-02-17,50000000,212500000
Genoa Cricket and Football Club,Football Club Internazionale Milano S.p.A.,2018-02-17,46200000,159500000
Chievo Verona,Genoa Cricket and Football Club,2018-02-11,25200000,43900000
Associazione Sportiva Roma,Benevento Calcio,2018-02-11,203000000,15100000
UC Sampdoria,Verona Hellas Football Club,2018-02-11,82000000,23650000
Torino Calcio,Udinese Calcio,2018-02-11,97600000,53200000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2018-02-11,187500000,33700000
Unione Sportiva Sassuolo Calcio,Cagliari Calcio,2018-02-11,79300000,46100000
FC Crotone,Atalanta Bergamasca Calcio S.p.a.,2018-02-10,19600000,86500000
SPAL,Associazione Calcio Milan,2018-02-10,28800000,229000000
Società Sportiva Calcio Napoli,Società Sportiva Lazio S.p.A.,2018-02-10,281000000,196500000
Associazione Calcio Fiorentina,Juventus Football Club,2018-02-09,121500000,287000000
Società Sportiva Lazio S.p.A.,Genoa Cricket and Football Club,2018-02-05,137000000,45500000
Benevento Calcio,Società Sportiva Calcio Napoli,2018-02-04,18800000,283000000
Verona Hellas Football Club,Associazione Sportiva Roma,2018-02-04,18150000,234000000
Atalanta Bergamasca Calcio S.p.a.,Chievo Verona,2018-02-04,89300000,18400000
Juventus Football Club,Unione Sportiva Sassuolo Calcio,2018-02-04,310000000,82300000
Udinese Calcio,Associazione Calcio Milan,2018-02-04,46700000,235000000
Cagliari Calcio,SPAL,2018-02-04,53100000,25100000
Bologna Football Club 1909,Associazione Calcio Fiorentina,2018-02-04,41700000,114500000
Football Club Internazionale Milano S.p.A.,FC Crotone,2018-02-03,196500000,21100000
UC Sampdoria,Torino Calcio,2018-02-03,84000000,60100000
Associazione Sportiva Roma,UC Sampdoria,2018-01-28,234000000,89500000
Società Sportiva Calcio Napoli,Bologna Football Club 1909,2018-01-28,281000000,44200000
FC Crotone,Cagliari Calcio,2018-01-28,22400000,27900000
Genoa Cricket and Football Club,Udinese Calcio,2018-01-28,44000000,53200000
SPAL,Football Club Internazionale Milano S.p.A.,2018-01-28,26400000,271500000
Torino Calcio,Benevento Calcio,2018-01-28,63600000,19200000
Associazione Calcio Milan,Società Sportiva Lazio S.p.A.,2018-01-28,216000000,163500000
Associazione Calcio Fiorentina,Verona Hellas Football Club,2018-01-28,117000000,24400000
Chievo Verona,Juventus Football Club,2018-01-27,24100000,270500000
Unione Sportiva Sassuolo Calcio,Atalanta Bergamasca Calcio S.p.a.,2018-01-27,74300000,74000000
Società Sportiva Lazio S.p.A.,Udinese Calcio,2018-01-24,170500000,38500000
UC Sampdoria,Associazione Sportiva Roma,2018-01-24,97000000,224000000
Juventus Football Club,Genoa Cricket and Football Club,2018-01-22,320000000,45800000
Società Sportiva Lazio S.p.A.,Chievo Verona,2018-01-21,198500000,26100000
UC Sampdoria,Associazione Calcio Fiorentina,2018-01-21,87000000,117000000
Bologna Football Club 1909,Benevento Calcio,2018-01-21,49500000,11950000
Cagliari Calcio,Associazione Calcio Milan,2018-01-21,50200000,241500000
Unione Sportiva Sassuolo Calcio,Torino Calcio,2018-01-21,67600000,63600000
Football Club Internazionale Milano S.p.A.,Associazione Sportiva Roma,2018-01-21,264500000,234000000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Calcio Napoli,2018-01-21,108500000,268000000
Verona Hellas Football Club,FC Crotone,2018-01-21,19100000,22400000
Udinese Calcio,SPAL,2018-01-21,52700000,24100000
Società Sportiva Calcio Napoli,Verona Hellas Football Club,2018-01-06,283000000,29900000
Benevento Calcio,UC Sampdoria,2018-01-06,11350000,75500000
Associazione Calcio Milan,FC Crotone,2018-01-06,229500000,20600000
Genoa Cricket and Football Club,Unione Sportiva Sassuolo Calcio,2018-01-06,47500000,74300000
Torino Calcio,Bologna Football Club 1909,2018-01-06,63600000,44500000
Associazione Sportiva Roma,Atalanta Bergamasca Calcio S.p.a.,2018-01-06,207500000,108000000
Cagliari Calcio,Juventus Football Club,2018-01-06,44200000,379000000
SPAL,Società Sportiva Lazio S.p.A.,2018-01-06,24100000,188000000
Associazione Calcio Fiorentina,Football Club Internazionale Milano S.p.A.,2018-01-05,117000000,266500000
Chievo Verona,Udinese Calcio,2018-01-05,26100000,67700000
Atalanta Bergamasca Calcio S.p.a.,Cagliari Calcio,2017-12-30,88800000,31900000
Torino Calcio,Genoa Cricket and Football Club,2017-12-30,59100000,48800000
Bologna Football Club 1909,Udinese Calcio,2017-12-30,55000000,51700000
Verona Hellas Football Club,Juventus Football Club,2017-12-30,28600000,332500000
Associazione Calcio Fiorentina,Associazione Calcio Milan,2017-12-30,85000000,205000000
Associazione Sportiva Roma,Unione Sportiva Sassuolo Calcio,2017-12-30,222500000,50300000
Football Club Internazionale Milano S.p.A.,Società Sportiva Lazio S.p.A.,2017-12-30,260500000,195500000
Benevento Calcio,Chievo Verona,2017-12-30,11050000,28300000
UC Sampdoria,SPAL,2017-12-30,78000000,20900000
FC Crotone,Società Sportiva Calcio Napoli,2017-12-29,19700000,275500000
Società Sportiva Calcio Napoli,UC Sampdoria,2017-12-23,236000000,54500000
Udinese Calcio,Verona Hellas Football Club,2017-12-23,32500000,20700000
Unione Sportiva Sassuolo Calcio,Football Club Internazionale Milano S.p.A.,2017-12-23,79000000,211500000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2017-12-23,181500000,86500000
Società Sportiva Lazio S.p.A.,FC Crotone,2017-12-23,120800000,18600000
SPAL,Torino Calcio,2017-12-23,17100000,90300000
Genoa Cricket and Football Club,Benevento Calcio,2017-12-23,50400000,18800000
Juventus Football Club,Associazione Sportiva Roma,2017-12-23,291000000,205000000
Chievo Verona,Bologna Football Club 1909,2017-12-22,29300000,41000000
Cagliari Calcio,Associazione Calcio Fiorentina,2017-12-22,38350000,86000000
Bologna Football Club 1909,Juventus Football Club,2017-12-17,37900000,294500000
Associazione Calcio Fiorentina,Genoa Cricket and Football Club,2017-12-17,82300000,43800000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,2017-12-17,83500000,106000000
FC Crotone,Chievo Verona,2017-12-17,18600000,23000000
Verona Hellas Football Club,Associazione Calcio Milan,2017-12-17,21800000,203500000
UC Sampdoria,Unione Sportiva Sassuolo Calcio,2017-12-17,61000000,79000000
Benevento Calcio,SPAL,2017-12-17,24000000,19500000
Football Club Internazionale Milano S.p.A.,Udinese Calcio,2017-12-16,198500000,41000000
Torino Calcio,Società Sportiva Calcio Napoli,2017-12-16,77600000,216000000
Associazione Sportiva Roma,Cagliari Calcio,2017-12-16,195000000,40200000
Genoa Cricket and Football Club,Atalanta Bergamasca Calcio S.p.a.,2017-12-12,50400000,86500000
Società Sportiva Lazio S.p.A.,Torino Calcio,2017-12-11,128000000,77600000
Unione Sportiva Sassuolo Calcio,FC Crotone,2017-12-10,73500000,16800000
Società Sportiva Calcio Napoli,Associazione Calcio Fiorentina,2017-12-10,216000000,82300000
Associazione Calcio Milan,Bologna Football Club 1909,2017-12-10,198500000,35600000
SPAL,Verona Hellas Football Club,2017-12-10,20800000,23300000
Udinese Calcio,Benevento Calcio,2017-12-10,37500000,14700000
Chievo Verona,Associazione Sportiva Roma,2017-12-10,25200000,167500000
Juventus Football Club,Football Club Internazionale Milano S.p.A.,2017-12-09,274500000,198500000
Cagliari Calcio,UC Sampdoria,2017-12-09,34800000,59000000
Verona Hellas Football Club,Genoa Cricket and Football Club,2017-12-04,19500000,50400000
FC Crotone,Udinese Calcio,2017-12-04,15800000,42000000
Bologna Football Club 1909,Cagliari Calcio,2017-12-03,36700000,37200000
Associazione Calcio Fiorentina,Unione Sportiva Sassuolo Calcio,2017-12-03,82300000,63100000
Benevento Calcio,Associazione Calcio Milan,2017-12-03,21200000,217500000
Football Club Internazionale Milano S.p.A.,Chievo Verona,2017-12-03,207500000,21100000
UC Sampdoria,Società Sportiva Lazio S.p.A.,2017-12-03,59000000,128000000
Torino Calcio,Atalanta Bergamasca Calcio S.p.a.,2017-12-02,85800000,83500000
Associazione Sportiva Roma,SPAL,2017-12-01,171000000,21200000
Società Sportiva Calcio Napoli,Juventus Football Club,2017-12-01,236000000,314500000
Atalanta Bergamasca Calcio S.p.a.,Benevento Calcio,2017-11-27,78500000,18900000
Società Sportiva Lazio S.p.A.,Associazione Calcio Fiorentina,2017-11-26,128000000,82300000
Juventus Football Club,FC Crotone,2017-11-26,249000000,15600000
Udinese Calcio,Società Sportiva Calcio Napoli,2017-11-26,44300000,227500000
Associazione Calcio Milan,Torino Calcio,2017-11-26,222000000,90800000
Genoa Cricket and Football Club,Associazione Sportiva Roma,2017-11-26,50400000,182500000
Chievo Verona,SPAL,2017-11-25,27700000,19300000
Bologna Football Club 1909,UC Sampdoria,2017-11-25,33500000,56300000
Unione Sportiva Sassuolo Calcio,Verona Hellas Football Club,2017-11-25,61900000,21000000
Cagliari Calcio,Football Club Internazionale Milano S.p.A.,2017-11-25,38300000,193500000
Verona Hellas Football Club,Bologna Football Club 1909,2017-11-20,21500000,37100000
FC Crotone,Genoa Cricket and Football Club,2017-11-19,17100000,50400000
Torino Calcio,Chievo Verona,2017-11-19,85800000,34700000
Udinese Calcio,Cagliari Calcio,2017-11-19,39700000,38300000
UC Sampdoria,Juventus Football Club,2017-11-19,61000000,271000000
Benevento Calcio,Unione Sportiva Sassuolo Calcio,2017-11-19,22900000,38900000
Football Club Internazionale Milano S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2017-11-19,193500000,74000000
SPAL,Associazione Calcio Fiorentina,2017-11-19,20200000,75500000
Associazione Sportiva Roma,Società Sportiva Lazio S.p.A.,2017-11-18,205000000,128000000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2017-11-18,236000000,206500000
Football Club Internazionale Milano S.p.A.,Torino Calcio,2017-11-05,192000000,85800000
Associazione Calcio Fiorentina,Associazione Sportiva Roma,2017-11-05,84500000,188000000
Cagliari Calcio,Verona Hellas Football Club,2017-11-05,37300000,21900000
Atalanta Bergamasca Calcio S.p.a.,SPAL,2017-11-05,88000000,20200000
Chievo Verona,Società Sportiva Calcio Napoli,2017-11-05,32800000,239500000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2017-11-05,45700000,185000000
Juventus Football Club,Benevento Calcio,2017-11-05,337500000,22300000
Bologna Football Club 1909,FC Crotone,2017-11-04,31100000,16100000
Genoa Cricket and Football Club,UC Sampdoria,2017-11-04,50600000,67000000
Verona Hellas Football Club,Football Club Internazionale Milano S.p.A.,2017-10-30,22700000,192000000
Società Sportiva Calcio Napoli,Unione Sportiva Sassuolo Calcio,2017-10-29,207500000,46200000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2017-10-29,24500000,81000000
Benevento Calcio,Società Sportiva Lazio S.p.A.,2017-10-29,21600000,128000000
UC Sampdoria,Chievo Verona,2017-10-29,67500000,32000000
SPAL,Genoa Cricket and Football Club,2017-10-29,17900000,56600000
Torino Calcio,Cagliari Calcio,2017-10-29,82800000,37600000
FC Crotone,Associazione Calcio Fiorentina,2017-10-29,16100000,87800000
Associazione Calcio Milan,Juventus Football Club,2017-10-28,180500000,296000000
Associazione Sportiva Roma,Bologna Football Club 1909,2017-10-28,147500000,29000000
Juventus Football Club,SPAL,2017-10-25,310000000,18800000
Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,2017-10-25,39800000,128000000
Genoa Cricket and Football Club,Società Sportiva Calcio Napoli,2017-10-25,55100000,244000000
Cagliari Calcio,Benevento Calcio,2017-10-25,34500000,22700000
Chievo Verona,Associazione Calcio Milan,2017-10-25,28400000,194000000
Atalanta Bergamasca Calcio S.p.a.,Verona Hellas Football Club,2017-10-25,80500000,22700000
Unione Sportiva Sassuolo Calcio,Udinese Calcio,2017-10-25,70200000,32200000
Associazione Calcio Fiorentina,Torino Calcio,2017-10-25,82300000,70000000
Associazione Sportiva Roma,FC Crotone,2017-10-25,148500000,14500000
Football Club Internazionale Milano S.p.A.,UC Sampdoria,2017-10-24,192000000,55300000
Atalanta Bergamasca Calcio S.p.a.,Bologna Football Club 1909,2017-10-22,78500000,30600000
Società Sportiva Lazio S.p.A.,Cagliari Calcio,2017-10-22,128000000,31900000
Associazione Calcio Milan,Genoa Cricket and Football Club,2017-10-22,213500000,53600000
Chievo Verona,Verona Hellas Football Club,2017-10-22,32200000,21700000
Benevento Calcio,Associazione Calcio Fiorentina,2017-10-22,20400000,82300000
Torino Calcio,Associazione Sportiva Roma,2017-10-22,66300000,174500000
Udinese Calcio,Juventus Football Club,2017-10-22,36500000,320000000
SPAL,Unione Sportiva Sassuolo Calcio,2017-10-22,14500000,74200000
Società Sportiva Calcio Napoli,Football Club Internazionale Milano S.p.A.,2017-10-21,249000000,192000000
UC Sampdoria,FC Crotone,2017-10-21,63800000,14900000
Verona Hellas Football Club,Benevento Calcio,2017-10-16,22500000,19400000
Associazione Calcio Fiorentina,Udinese Calcio,2017-10-15,82300000,44200000
UC Sampdoria,Atalanta Bergamasca Calcio S.p.a.,2017-10-15,58100000,75500000
Bologna Football Club 1909,SPAL,2017-10-15,32800000,18800000
Cagliari Calcio,Genoa Cricket and Football Club,2017-10-15,42200000,53600000
Unione Sportiva Sassuolo Calcio,Chievo Verona,2017-10-15,70100000,32500000
FC Crotone,Torino Calcio,2017-10-15,17900000,66300000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Milan,2017-10-15,192000000,239000000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2017-10-14,214000000,128000000
Associazione Sportiva Roma,Società Sportiva Calcio Napoli,2017-10-14,184500000,249000000
SPAL,FC Crotone,2017-10-01,15600000,16200000
Chievo Verona,Associazione Calcio Fiorentina,2017-10-01,32700000,77000000
Associazione Calcio Milan,Associazione Sportiva Roma,2017-10-01,237000000,196000000
Società Sportiva Lazio S.p.A.,Unione Sportiva Sassuolo Calcio,2017-10-01,107800000,71200000
Società Sportiva Calcio Napoli,Cagliari Calcio,2017-10-01,241000000,38600000
Benevento Calcio,Football Club Internazionale Milano S.p.A.,2017-10-01,20900000,181500000
Torino Calcio,Verona Hellas Football Club,2017-10-01,93550000,22000000
Atalanta Bergamasca Calcio S.p.a.,Juventus Football Club,2017-10-01,70000000,267000000
Genoa Cricket and Football Club,Bologna Football Club 1909,2017-09-30,40700000,29300000
Udinese Calcio,UC Sampdoria,2017-09-30,31200000,48300000
Football Club Internazionale Milano S.p.A.,Genoa Cricket and Football Club,2017-09-24,183000000,37900000
UC Sampdoria,Associazione Calcio Milan,2017-09-24,48300000,219500000
Unione Sportiva Sassuolo Calcio,Bologna Football Club 1909,2017-09-24,69200000,30300000
Cagliari Calcio,Chievo Verona,2017-09-24,29500000,30000000
Associazione Calcio Fiorentina,Atalanta Bergamasca Calcio S.p.a.,2017-09-24,59800000,90500000
FC Crotone,Benevento Calcio,2017-09-24,17450000,20400000
Verona Hellas Football Club,Società Sportiva Lazio S.p.A.,2017-09-24,15200000,63500000
SPAL,Società Sportiva Calcio Napoli,2017-09-23,15600000,240000000
Juventus Football Club,Torino Calcio,2017-09-23,275000000,102250000
Associazione Sportiva Roma,Udinese Calcio,2017-09-23,202000000,31200000
Atalanta Bergamasca Calcio S.p.a.,FC Crotone,2017-09-20,74500000,11950000
Juventus Football Club,Associazione Calcio Fiorentina,2017-09-20,277000000,75300000
Cagliari Calcio,Unione Sportiva Sassuolo Calcio,2017-09-20,38500000,51700000
Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2017-09-20,110500000,223500000
Verona Hellas Football Club,UC Sampdoria,2017-09-20,18800000,46300000
Udinese Calcio,Torino Calcio,2017-09-20,29000000,99050000
Genoa Cricket and Football Club,Chievo Verona,2017-09-20,48000000,31200000
Benevento Calcio,Associazione Sportiva Roma,2017-09-20,23600000,139500000
Associazione Calcio Milan,SPAL,2017-09-20,222500000,20200000
Bologna Football Club 1909,Football Club Internazionale Milano S.p.A.,2017-09-19,33200000,191500000
Torino Calcio,UC Sampdoria,2017-09-17,100500000,47300000
Associazione Calcio Milan,Udinese Calcio,2017-09-17,233000000,35500000
Genoa Cricket and Football Club,Società Sportiva Lazio S.p.A.,2017-09-17,44000000,105000000
Società Sportiva Calcio Napoli,Benevento Calcio,2017-09-17,241000000,17900000
Unione Sportiva Sassuolo Calcio,Juventus Football Club,2017-09-17,49800000,322000000
SPAL,Cagliari Calcio,2017-09-17,17700000,38500000
Chievo Verona,Atalanta Bergamasca Calcio S.p.a.,2017-09-17,31200000,69500000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2017-09-16,77000000,31600000
FC Crotone,Football Club Internazionale Milano S.p.A.,2017-09-16,16800000,195000000
Associazione Sportiva Roma,Verona Hellas Football Club,2017-09-16,177000000,21500000
Società Sportiva Lazio S.p.A.,Associazione Calcio Milan,2017-09-10,115500000,173000000
Cagliari Calcio,FC Crotone,2017-09-10,36500000,17900000
Udinese Calcio,Genoa Cricket and Football Club,2017-09-10,35500000,51700000
Bologna Football Club 1909,Società Sportiva Calcio Napoli,2017-09-10,33000000,239000000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Sassuolo Calcio,2017-09-10,75000000,67300000
Football Club Internazionale Milano S.p.A.,SPAL,2017-09-10,195000000,17700000
Verona Hellas Football Club,Associazione Calcio Fiorentina,2017-09-10,18900000,77000000
Benevento Calcio,Torino Calcio,2017-09-10,22000000,91300000
Juventus Football Club,Chievo Verona,2017-09-09,268000000,29700000
Torino Calcio,Unione Sportiva Sassuolo Calcio,2017-08-27,86000000,77200000
FC Crotone,Verona Hellas Football Club,2017-08-27,16900000,22200000
Associazione Calcio Milan,Cagliari Calcio,2017-08-27,179000000,31500000
Chievo Verona,Società Sportiva Lazio S.p.A.,2017-08-27,29700000,115500000
Associazione Calcio Fiorentina,UC Sampdoria,2017-08-27,82800000,48800000
SPAL,Udinese Calcio,2017-08-27,13900000,41000000
Società Sportiva Calcio Napoli,Atalanta Bergamasca Calcio S.p.a.,2017-08-27,227500000,62000000
Genoa Cricket and Football Club,Juventus Football Club,2017-08-26,45200000,320000000
Associazione Sportiva Roma,Football Club Internazionale Milano S.p.A.,2017-08-26,181500000,176500000
Benevento Calcio,Bologna Football Club 1909,2017-08-26,19800000,39200000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2017-08-20,181500000,65800000
Udinese Calcio,Chievo Verona,2017-08-20,35500000,29700000
Unione Sportiva Sassuolo Calcio,Genoa Cricket and Football Club,2017-08-20,78300000,45200000
UC Sampdoria,Benevento Calcio,2017-08-20,41100000,20500000
Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,2017-08-20,59000000,183500000
Bologna Football Club 1909,Torino Calcio,2017-08-20,36200000,82100000
Società Sportiva Lazio S.p.A.,SPAL,2017-08-20,109400000,17500000
FC Crotone,Associazione Calcio Milan,2017-08-20,18100000,181500000
Verona Hellas Football Club,Società Sportiva Calcio Napoli,2017-08-19,23800000,227000000
Juventus Football Club,Cagliari Calcio,2017-08-19,317000000,28500000
FC Crotone,Società Sportiva Lazio S.p.A.,2017-05-28,13750000,100000000
Football Club Internazionale Milano S.p.A.,Udinese Calcio,2017-05-28,146000000,38500000
UC Sampdoria,Società Sportiva Calcio Napoli,2017-05-28,39800000,219500000
Cagliari Calcio,Associazione Calcio Milan,2017-05-28,22250000,96000000
Torino Calcio,Unione Sportiva Sassuolo Calcio,2017-05-28,79800000,53500000
Palermo FC,FC Empoli,2017-05-28,14950000,13250000
Associazione Sportiva Roma,Genoa Cricket and Football Club,2017-05-28,204000000,28200000
Associazione Calcio Fiorentina,Delfino Pescara 1936,2017-05-28,89300000,22000000
Atalanta Bergamasca Calcio S.p.a.,Chievo Verona,2017-05-27,60200000,15050000
Bologna Football Club 1909,Juventus Football Club,2017-05-27,30350000,244800000
Delfino Pescara 1936,Palermo FC,2017-05-22,22200000,17650000
Società Sportiva Lazio S.p.A.,Football Club Internazionale Milano S.p.A.,2017-05-21,137200000,151800000
Unione Sportiva Sassuolo Calcio,Cagliari Calcio,2017-05-21,57400000,24400000
Udinese Calcio,UC Sampdoria,2017-05-21,33700000,53100000
FC Empoli,Atalanta Bergamasca Calcio S.p.a.,2017-05-21,21600000,77100000
Juventus Football Club,FC Crotone,2017-05-21,327000000,13950000
Associazione Calcio Milan,Bologna Football Club 1909,2017-05-21,119500000,38200000
Genoa Cricket and Football Club,Torino Calcio,2017-05-21,32000000,85300000
Chievo Verona,Associazione Sportiva Roma,2017-05-20,21150000,174000000
Società Sportiva Calcio Napoli,Associazione Calcio Fiorentina,2017-05-20,221500000,98300000
Cagliari Calcio,FC Empoli,2017-05-14,27400000,27850000
Bologna Football Club 1909,Delfino Pescara 1936,2017-05-14,37900000,18250000
UC Sampdoria,Chievo Verona,2017-05-14,37600000,16850000
Associazione Sportiva Roma,Juventus Football Club,2017-05-14,194000000,247500000
Torino Calcio,Società Sportiva Calcio Napoli,2017-05-14,93700000,221500000
Football Club Internazionale Milano S.p.A.,Unione Sportiva Sassuolo Calcio,2017-05-14,212800000,59900000
FC Crotone,Udinese Calcio,2017-05-14,15050000,45100000
Palermo FC,Genoa Cricket and Football Club,2017-05-14,14800000,33100000
Associazione Calcio Fiorentina,Società Sportiva Lazio S.p.A.,2017-05-13,83800000,55100000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Milan,2017-05-13,73600000,111000000
Delfino Pescara 1936,FC Crotone,2017-05-07,24000000,13100000
Chievo Verona,Palermo FC,2017-05-07,19600000,12600000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2017-05-07,40400000,56700000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Fiorentina,2017-05-07,56500000,79800000
Società Sportiva Lazio S.p.A.,UC Sampdoria,2017-05-07,138300000,36300000
Associazione Calcio Milan,Associazione Sportiva Roma,2017-05-07,87500000,185500000
Genoa Cricket and Football Club,Football Club Internazionale Milano S.p.A.,2017-05-07,29800000,184800000
FC Empoli,Bologna Football Club 1909,2017-05-07,27850000,37700000
Juventus Football Club,Torino Calcio,2017-05-06,212500000,86200000
Società Sportiva Calcio Napoli,Cagliari Calcio,2017-05-06,198000000,23900000
