Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,Home_Elo,Away_Elo,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-24,Empoli,Atalanta,0,1,A,2015-2016,1,0,0.4563411942088868,-0.22382811615226492,0.19366508736495475,-0.22501359492851683,0.3833333333333333,0.29545454545454547,0.0,1484.7234965545451,1503.2254687256086,0.8,1.0
2015-09-26,Napoli,Juventus,2,1,H,2015-2016,0,0,0.9944212149363114,-0.34468353246740135,-0.07551912400721232,-0.34657462327119126,0.3238095238095238,0.2571428571428571,0.5,1509.6330925538336,1494.9170835868254,1.0,0.8333333333333334
2015-09-26,Roma,Carpi,5,1,H,2015-2016,0,0,0.5569949168379892,0.19151403917873214,-0.0758941712928783,-0.8840310547697288,0.2976190476190476,0.29714285714285715,0.5,1516.8709849006075,1465.3614496531338,1.3333333333333333,0.3333333333333333
2015-09-27,Verona,Lazio,1,2,A,2015-2016,0,1,-0.33052933648838656,-0.948356405382238,0.12828211441931567,0.69729082622783,0.22857142857142856,0.22777777777777777,0.0,1481.9151391913506,1500.5102253532073,0.5,1.5
2015-09-27,Torino,Palermo,2,1,H,2015-2016,0,0,0.7815348429519328,0.685224269902273,0.1229812746110648,0.1498820678646219,0.28714285714285714,0.4333333333333334,1.0,1528.4479677776376,1495.7803268473567,1.6666666666666667,1.1666666666666667
2015-09-27,Bologna,Udinese,1,2,A,2015-2016,0,0,-0.7344501731912012,-0.34628833621635036,-0.33212366567551277,-0.4053196659426892,0.15,0.3333333333333333,0.5,1468.5945535564847,1463.3667129344078,0.5,0.5
2015-09-27,Inter,Fiorentina,1,4,A,2015-2016,5,3,0.12887903022820735,1.8030418662421959,0.33993874335028185,1.2688769972756688,0.2752380952380952,0.3638095238095238,1.0,1544.9600128761892,1528.6151404510786,2.5,2.0
2015-09-27,Genoa,Milan,1,0,H,2015-2016,0,2,-0.7441248624088701,-0.363000321044742,0.565499419301081,0.692600153117429,0.06666666666666667,0.375,0.5,1466.33100253789,1509.7146760532908,0.5,1.5
2015-09-27,Sassuolo,Chievo,1,1,D,2015-2016,1,1,0.5635610481694041,0.6897092454523118,0.7768988628595938,0.7338342002018945,0.3611111111111111,0.4666666666666667,0.5,1531.9815028522175,1528.1093584413761,1.8333333333333333,1.6666666666666667
2015-09-28,Atalanta,Sampdoria,2,1,H,2015-2016,1,1,0.11778292883267436,0.15004543192388525,1.2518247280304378,0.7112415719625772,0.30303030303030304,0.47619047619047616,0.5,1515.5290741446813,1521.061342437239,1.3333333333333333,1.6666666666666667
2015-09-28,Frosinone,Empoli,2,0,H,2015-2016,0,0,-0.7843351983978437,-0.945939136136822,0.11727584791913175,-0.3982536863358907,0.26666666666666666,0.30666666666666664,0.0,1455.88046271572,1472.4198911354724,0.16666666666666666,0.6666666666666666
2015-10-03,Carpi,Torino,2,1,H,2015-2016,0,1,-0.1122510110506532,-0.9463490558123073,0.8268936074980815,0.8981239324218306,0.2733333333333334,0.3633333333333333,0.0,1454.3062524375175,1534.8048536035367,0.2857142857142857,1.8571428571428572
2015-10-03,Chievo,Verona,1,1,D,2015-2016,0,0,0.6417472573526494,0.43929769019257653,-0.3133128357855379,-0.9538153683194813,0.3666666666666667,0.4,0.6666666666666666,1531.0130381028473,1469.614071746255,1.5714285714285714,0.42857142857142855
2015-10-04,Sampdoria,Inter,1,1,D,2015-2016,0,0,1.0357874494819301,0.4279264238458103,0.0759457276579412,1.3761046891536883,0.3833333333333333,0.3466666666666667,1.0,1513.7152613497467,1521.8094798301645,1.4285714285714286,2.142857142857143
2015-10-04,Milan,Napoli,0,4,A,2015-2016,0,1,0.27005562957267804,0.42783447702309685,1.0516794255245403,-0.0430504155461416,0.375,0.33714285714285713,1.0,1501.3299526568935,1516.4462745482217,1.2857142857142858,1.2857142857142858
2015-10-04,Lazio,Frosinone,2,0,H,2015-2016,2,1,0.27114434017077443,0.90151613243051,-0.5093998021658757,-0.4943615204634244,0.31666666666666665,0.3,1.0,1512.811292798303,1467.344926151022,1.7142857142857142,0.5714285714285714
2015-10-04,Palermo,Roma,2,4,A,2015-2016,0,1,0.06549094219091121,-0.04289157094092019,1.2432236718250753,0.4297767595546592,0.4666666666666667,0.3726190476190476,0.3333333333333333,1489.4234410214576,1527.9261821162238,1.0,1.5714285714285714
2015-10-04,Fiorentina,Atalanta,3,0,H,2015-2016,4,2,0.8393777455583751,1.378171846208076,0.2574440273443632,0.4380767160672034,0.4066666666666666,0.38303030303030305,1.0,1551.7656734971033,1522.8751552321737,2.142857142857143,1.5714285714285714
2015-10-04,Udinese,Genoa,1,1,D,2015-2016,1,1,-0.15095946864419277,-0.052479670659445476,-0.699369342856599,-0.026350011746056303,0.36666666666666664,0.16666666666666666,0.0,1476.306082130297,1474.7157259342873,0.8571428571428571,0.8571428571428571
2015-10-04,Juventus,Bologna,3,1,H,2015-2016,0,0,-0.11791675550026548,-0.5025086904897702,-0.6962045267883237,-0.49008078682281403,0.3238095238095238,0.16666666666666666,0.0,1488.1039015924373,1455.6551843605955,0.7142857142857143,0.42857142857142855
2015-10-04,Empoli,Sassuolo,1,0,H,2015-2016,0,0,-0.11939335604534718,-0.4876794418197397,0.4403441871215679,0.4260998124756661,0.26666666666666666,0.33444444444444443,0.0,1460.9554277001703,1529.0778231907464,0.5714285714285714,1.7142857142857142
2015-10-17,Roma,Empoli,3,1,H,2015-2016,2,1,1.5514436325840213,0.6353765940340574,-0.1504109243573842,-0.18900579508291823,0.4154761904761905,0.25,0.6666666666666666,1545.5538476092925,1470.0404824667792,1.75,0.875
2015-10-17,Torino,Milan,1,1,D,2015-2016,0,0,0.6862507222881505,0.6322686298921139,0.019725845970761657,0.22324417869330979,0.32999999999999996,0.275,1.0,1525.3655602651513,1478.0880684602625,1.625,1.125
2015-10-18,Inter,Juventus,0,0,D,2015-2016,0,1,0.00729810886753272,1.057742493180881,0.18003695859112478,-0.20847801350395292,0.2952380952380952,0.2988095238095238,0.75,1524.394720370151,1497.6474294525851,2.0,1.0
2015-10-18,Genoa,Chievo,3,2,H,2015-2016,0,0,-0.6847814003600518,-0.20229007438430974,0.5221811345581037,0.22310088943967601,0.12857142857142856,0.23523809523809525,0.6666666666666666,1477.5591537227683,1526.6752371376567,0.875,1.5
2015-10-18,Bologna,Palermo,0,1,A,2015-2016,0,0,-0.6771268864754948,-0.6184344688702106,0.1681476825894772,-0.21655242356246063,0.36666666666666664,0.3466666666666667,0.3333333333333333,1446.1116565004477,1471.795775528389,0.375,0.875
2015-10-18,Frosinone,Sampdoria,2,0,H,2015-2016,0,0,-0.6881509977100246,-0.6236027595035438,0.8629415387296757,0.2075958119928892,0.3,0.31666666666666665,0.3333333333333333,1458.2822675796183,1511.1300208097603,0.5,1.375
2015-10-18,Sassuolo,Lazio,2,1,H,2015-2016,0,3,0.16223493223809266,0.20690929520926918,0.3527477671384692,1.0550847220697983,0.23444444444444446,0.35666666666666663,0.3333333333333333,1519.9927684241375,1521.8739513697067,1.5,1.875
2015-10-18,Verona,Udinese,1,1,D,2015-2016,0,0,-0.3617886975117609,-1.0737205618762216,-0.18733668608730794,-0.21980141908215353,0.4666666666666667,0.4333333333333333,0.0,1473.9518727114455,1473.462654341816,0.5,0.875
2015-10-18,Atalanta,Carpi,3,0,H,2015-2016,0,1,0.0040065138147948156,0.21450310804086778,0.008646880493144595,-0.615516294363273,0.3466666666666667,0.36666666666666664,0.6666666666666666,1511.5849559432834,1463.7455457759029,1.375,0.625
2015-10-18,Napoli,Fiorentina,2,1,H,2015-2016,2,5,1.3943485760962897,0.20625869534303226,1.0347860323484768,1.4799963530116,0.48,0.4333333333333333,0.6666666666666666,1539.6881587448527,1563.0558727859936,1.5,2.25
2015-10-24,Carpi,Bologna,1,2,A,2015-2016,0,0,-0.18021585480369237,-0.6896123309031955,-0.7993648935966688,-0.6927872919009616,0.16666666666666666,0.36666666666666664,0.25,1453.2729715919259,1434.0047086180466,0.5555555555555556,0.3333333333333333
2015-10-24,Empoli,Genoa,2,0,H,2015-2016,0,1,-0.17964411845304734,-0.3115196611354147,-0.33377778957145976,0.06553556075718835,0.15,0.22857142857142856,0.25,1462.0330603157977,1486.1049790323766,0.7777777777777778,1.1111111111111112
2015-10-24,Palermo,Inter,1,1,D,2015-2016,1,0,0.13419279023330224,0.060429388260439545,-0.17752748662813403,0.8196655749550993,0.33,0.2452380952380952,0.25,1483.90272341079,1520.9003001062667,1.1111111111111112,1.8888888888888888
2015-10-25,Chievo,Napoli,0,1,A,2015-2016,0,3,0.6018583638542022,0.05775998143468757,1.3952588988571601,0.43347910545287754,0.3019047619047619,0.44666666666666666,0.5,1518.1294118280484,1547.51758938205,1.3333333333333333,1.6666666666666667
2015-10-25,Juventus,Atalanta,2,0,H,2015-2016,0,1,-0.030226683287167967,-0.32877295611928087,0.28983213747399955,0.43894013249068214,0.2702380952380953,0.33238095238095233,0.25,1501.1418497164693,1522.0575301272604,1.0,1.5555555555555556
2015-10-25,Fiorentina,Roma,1,2,A,2015-2016,0,3,0.912989919455318,1.1998565078685917,1.6997724535132315,0.8166772887108453,0.4333333333333333,0.40214285714285714,1.0,1555.2264421487964,1553.561269760274,2.0,1.8888888888888888
2015-10-25,Milan,Sassuolo,2,1,H,2015-2016,0,1,-0.03188261184631979,0.049855111990200165,0.2626326626026116,0.42873369875289113,0.3416666666666667,0.29000000000000004,0.6666666666666666,1482.0901662872227,1527.2414396368133,1.1111111111111112,1.6666666666666667
2015-10-25,Sampdoria,Verona,4,1,H,2015-2016,0,0,0.5800081058345854,0.042706035517789634,-0.37394163329181235,-1.1267227842358558,0.2166666666666667,0.4333333333333333,0.75,1498.1533399480063,1471.1376019665686,1.2222222222222223,0.5555555555555556
2015-10-25,Lazio,Torino,3,0,H,2015-2016,0,0,0.28521032671506774,0.8191302668648403,0.5778596042040941,0.4273046868837688,0.37333333333333335,0.35,1.0,1514.6252801570308,1521.3634624381912,1.6666666666666667,1.5555555555555556
2015-10-25,Udinese,Frosinone,1,0,H,2015-2016,0,1,-0.21583686812933706,-0.3500026908213105,-0.503709549895295,-0.3298445746311194,0.47333333333333333,0.4,0.0,1476.276925086693,1471.2589484413722,0.8888888888888888,0.7777777777777778
2015-10-27,Bologna,Inter,0,1,A,2015-2016,1,0,-0.6379556814118877,-0.42875908237132315,-0.21046900116560013,0.6113244301065106,0.36666666666666664,0.20714285714285713,0.25,1447.3087482703115,1522.694037673313,0.6,1.8
2015-10-28,Sassuolo,Juventus,1,0,H,2015-2016,0,1,0.20177375661710553,0.2548616156528908,0.07580916677531024,-0.08474207498357414,0.29000000000000004,0.21023809523809525,0.5,1518.8071277094703,1512.7852764227875,1.5,1.2
2015-10-28,Verona,Fiorentina,0,2,A,2015-2016,0,0,-0.3800966512720895,-1.1726661028148797,0.7893337674058954,0.9652070320671399,0.5666666666666667,0.3833333333333333,0.0,1459.764704547859,1542.3810352011922,0.5,1.8
2015-10-28,Torino,Genoa,3,3,D,2015-2016,0,0,0.34598369605332485,0.25416811417982205,-0.5010949334550637,-0.08496878127830171,0.3,0.22857142857142856,0.75,1508.4513061070056,1474.3318498017893,1.4,1.0
2015-10-28,Roma,Udinese,3,1,H,2015-2016,4,1,1.66164984673743,0.9681103053299936,-0.23529926461622575,-0.10244534734464243,0.445,0.4019047619047619,0.75,1566.4066767078782,1483.343075359443,2.0,1.1
2015-10-28,Milan,Chievo,1,0,H,2015-2016,1,0,0.07307740814854718,0.26215141228612315,0.3609860036245489,-0.08213215698434606,0.4,0.3019047619047619,0.75,1490.5244782145658,1506.1245680791783,1.3,1.2
2015-10-28,Atalanta,Lazio,2,1,H,2015-2016,0,1,0.07422616371988697,0.26219237343221447,0.5081848435940932,0.9706846585636588,0.23238095238095235,0.5733333333333334,0.75,1510.4141034209422,1527.5374364882164,1.4,1.8
2015-10-28,Napoli,Palermo,2,0,H,2015-2016,4,0,1.231735216359669,0.6140785929897183,0.0663821130825418,-0.09459058060736734,0.3966666666666666,0.2966666666666667,0.75,1559.52243313092,1482.1089858437438,1.8,1.1
2015-10-28,Frosinone,Carpi,2,1,H,2015-2016,0,0,-0.6470648056300474,-0.43622427061650165,-0.21084999717547298,-0.7817371966977888,0.4,0.36666666666666664,0.5,1464.1927981686222,1439.968931939661,0.7,0.5
2015-10-29,Sampdoria,Empoli,1,1,D,2015-2016,1,1,0.9354681633592886,0.2614615705871625,-0.08751649017858729,-0.09617120919549652,0.35,0.16333333333333333,0.8,1509.5262373667158,1473.806189546385,1.4,1.0
2015-10-31,Inter,Roma,1,0,H,2015-2016,1,5,-0.2381595878899745,0.7622871240116856,1.7450706786403691,1.0856637845233548,0.19047619047619047,0.4866666666666667,0.6,1533.4013230372848,1574.1615655475277,1.9090909090909092,2.090909090909091
2015-10-31,Juventus,Torino,2,1,H,2015-2016,0,0,-0.10568335608476873,-0.20894587994435365,0.544145516055562,0.10971492096280937,0.1816666666666667,0.4,0.4,1505.745510515965,1504.7720066597333,1.0909090909090908,1.3636363636363635
2015-11-01,Lazio,Milan,1,3,A,2015-2016,0,2,0.41900431592038784,0.7657520483871415,0.01763487219109689,0.4356252339467837,0.5066666666666666,0.25,1.0,1519.8785821380752,1498.1419358457429,1.6363636363636365,1.4545454545454546
2015-11-01,Genoa,Napoli,0,0,D,2015-2016,0,5,-0.2473157166349874,-0.21557257568666247,1.2210641647194942,0.7622913872343342,0.37857142857142856,0.44666666666666666,0.75,1478.0111492490616,1567.4658131815424,1.0,1.9090909090909092
2015-11-01,Udinese,Sassuolo,0,0,D,2015-2016,0,1,-0.25655573113304,-0.22761815202730998,0.1454137966418455,0.43125641023840905,0.3685714285714286,0.3066666666666667,0.2,1475.5881865197935,1525.8468936162928,1.0,1.6363636363636365
2015-11-01,Carpi,Verona,0,0,D,2015-2016,0,0,-0.24584551298644475,-0.8657726314846594,-0.5242575369580723,-1.2157807702174912,0.4333333333333333,0.5666666666666667,0.2,1433.3994299218375,1444.0148168699602,0.45454545454545453,0.45454545454545453
2015-11-01,Bologna,Atalanta,3,0,H,2015-2016,0,1,-0.7776407304050591,-0.5420914682811738,0.1471782310012671,0.43361321880830556,0.36666666666666664,0.29904761904761906,0.2,1436.6014629063397,1518.0729577710833,0.5454545454545454,1.5454545454545454
2015-11-01,Fiorentina,Frosinone,4,1,H,2015-2016,1,1,0.8147488163721791,1.0913587015146498,-0.5145485922918459,-0.21611191967001298,0.4833333333333333,0.3333333333333333,0.8,1558.130922879091,1470.7623001864456,1.9090909090909092,0.9090909090909091
2015-11-02,Chievo,Sampdoria,1,1,D,2015-2016,0,0,0.1492612089682445,-0.22119227609218775,0.8272614710174143,0.11178411836208456,0.26190476190476186,0.2833333333333333,0.4,1498.5071104480012,1505.8071733111685,1.0909090909090908,1.3636363636363635
2015-11-02,Palermo,Empoli,0,1,A,2015-2016,0,0,-0.12021042305001209,-0.22013036391149768,-0.12048983826631159,-0.22065940314513563,0.2966666666666667,0.2033333333333333,0.2,1474.1656057931214,1477.5252536019323,1.0,1.0
2015-11-07,Milan,Atalanta,0,0,D,2015-2016,3,0,0.23648301517093592,0.5971829590767399,-0.012991644842654314,0.2926944566286444,0.45,0.21904761904761907,0.8,1518.1927063231594,1501.5053372190405,1.5833333333333333,1.4166666666666667
2015-11-07,Verona,Bologna,0,2,A,2015-2016,0,1,-0.6310577125737201,-1.2264406584268939,-0.5064926161853863,-0.31317068750516514,0.36666666666666664,0.42000000000000004,0.0,1446.5322161332515,1453.1690834583826,0.5,0.75
2015-11-08,Empoli,Juventus,1,3,A,2015-2016,1,1,-0.13236787425976645,-0.0009950419243630975,-0.007177122844832166,-0.007595740910980682,0.24333333333333335,0.18166666666666667,0.4,1490.2372041134938,1512.9184099296326,1.1666666666666667,1.25
