first_name,last_name,market_value
Bartosz,Bereszyński,400000
Gianluca,Lapadula,400000
Alessio,Furlanetto,350000
Luca,Lezzerini,350000
Kevin,Bonifazi,300000
Raffaele,Di Gennaro,300000
Junior,Ajayi,300000
Zanos,Savva,200000
Mathias,Ferrante,200000
Radoslaw,Zelezny,200000
Carlo,Pinsoglio,200000
Daniele,Padelli,150000
Mauro,Vigorito,150000
Daniele,Sommariva,100000
,Nícolas,100000
Giuseppe,Ciocci,100000
Francesco,Rossi,100000
Lapo,Nava,100000
Jasper,Samooja,75000
Giacomo,Toniolo,75000
Cristian,Shpendi,
,Arthur Borghi,
