Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Day,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,HomeElo,AwayElo,Home_Current_Points,Away_Current_Points,HomeValue,AwayValue,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-23,Chievo,Torino,1.0,0.0,H,2015-2016,5,0,1,1.017884793722472,0.4628533918426383,1.252572375224508,1.08682701939326,0.5333333333333333,0.3589285714285714,0.5,1520.4926634089882,1536.0646628100255,7,10,17700000.0,35000000.0,1.4,2.0
2015-09-23,Fiorentina,Bologna,2.0,0.0,H,2015-2016,5,2,1,0.2409440873804946,1.0964729455430466,-0.5098975577591737,-0.1814941210192284,0.3297619047619047,0.1875,1.0,1519.411588659757,1477.7981053478063,9,3,62800000.0,37100000.0,1.8,0.6
2015-09-23,Inter,Verona,1.0,0.0,H,2015-2016,5,4,0,0.2560798601289772,1.7432747692548285,-0.0690712155875155,-0.8880699103970252,0.281547619047619,0.2857142857142857,1.0,1539.0574482452255,1487.8177038223143,12,3,153000000.0,21100000.0,2.4,0.6
2015-09-23,Juventus,Frosinone,1.0,1.0,D,2015-2016,5,1,0,-0.0048579913279588,-0.1970246261280908,-0.7859912831558706,-0.8260726372213426,0.2857142857142857,0.0833333333333333,0.0,1498.9131679865593,1451.884378315986,4,0,197000000.0,16500000.0,0.8,0.0
2015-09-23,Lazio,Genoa,2.0,0.0,H,2015-2016,5,0,0,-0.0048312314313534,0.4413574759550602,-0.5217729533466285,-0.1807205966705653,0.1180555555555555,0.0833333333333333,1.0,1490.2493534168136,1476.5918744742837,6,3,83800000.0,32000000.0,1.2,0.6
2015-09-23,Palermo,Sassuolo,0.0,1.0,A,2015-2016,5,0,0,0.4989129634216959,0.4430128140238338,0.7348670094078231,0.4346777238576763,0.5416666666666667,0.3888888888888889,0.5,1508.2820188514652,1519.479810848109,7,8,36550000.0,34850000.0,1.4,1.6
2015-09-23,Sampdoria,Roma,2.0,1.0,H,2015-2016,5,0,0,1.2746274596725649,0.4374034984746561,0.7569580058324883,0.4401813021209013,0.4285714285714286,0.3407738095238095,1.0,1513.5741974471907,1524.3581298906558,7,8,66400000.0,152500000.0,1.4,1.6
2015-09-24,Empoli,Atalanta,0.0,1.0,A,2015-2016,5,1,0,0.4563411942088868,-0.2238281161522649,0.1936650873649547,-0.2250135949285168,0.3833333333333333,0.2954545454545454,0.0,1484.7234965545451,1503.2254687256086,4,5,23300000.0,35850000.0,0.8,1.0
2015-09-26,Napoli,Juventus,2.0,1.0,H,2015-2016,6,0,0,0.9944212149363114,-0.3446835324674013,-0.0755191240072123,-0.3465746232711912,0.3238095238095238,0.2571428571428571,0.5,1509.6330925538336,1494.9170835868254,6,5,163500000.0,174500000.0,1.0,0.8333333333333334
2015-09-26,Roma,Carpi,5.0,1.0,H,2015-2016,6,0,0,0.5569949168379892,0.1915140391787321,-0.0758941712928783,-0.8840310547697288,0.2976190476190476,0.2971428571428571,0.5,1516.8709849006077,1465.3614496531338,8,2,141500000.0,18900000.0,1.3333333333333333,0.3333333333333333
2015-09-27,Bologna,Udinese,1.0,2.0,A,2015-2016,6,0,0,-0.7344501731912012,-0.3462883362163503,-0.3321236656755127,-0.4053196659426892,0.15,0.3333333333333333,0.5,1468.5945535564847,1463.3667129344078,3,3,35600000.0,38450000.0,0.5,0.5
2015-09-27,Genoa,Milan,1.0,0.0,H,2015-2016,6,0,2,-0.7441248624088701,-0.363000321044742,0.565499419301081,0.692600153117429,0.0666666666666666,0.375,0.5,1466.33100253789,1509.7146760532908,3,9,39500000.0,95650000.0,0.5,1.5
2015-09-27,Inter,Fiorentina,1.0,4.0,A,2015-2016,6,5,3,0.1288790302282073,1.803041866242196,0.3399387433502818,1.2688769972756688,0.2752380952380952,0.3638095238095238,1.0,1544.9600128761892,1528.6151404510786,15,12,143500000.0,67800000.0,2.5,2.0
2015-09-27,Sassuolo,Chievo,1.0,1.0,D,2015-2016,6,1,1,0.5635610481694041,0.6897092454523118,0.7768988628595938,0.7338342002018945,0.3611111111111111,0.4666666666666667,0.5,1531.9815028522175,1528.109358441376,11,10,52600000.0,17200000.0,1.8333333333333333,1.6666666666666667
